trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9900498337491681}",25,0,-123.5184045405477,"{0: 14, 1: 7, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.05, 'e': 0.9801986733067553}",20,0,-106.66471205537297,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.05, 'e': 0.9704455335485082}",30,0,-130.96790024572536,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.9607894391523232}",35,0,-227.4895438309198,"{0: 19, 1: 7, 2: 5, 3: 0, 4: 4}",0
5,False,"{'a': 0.05, 'e': 0.951229424500714}",25,0,-182.4751509033375,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.05, 'e': 0.9417645335842487}",25,0,-180.10723634234333,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.05, 'e': 0.9323938199059483}",35,0,-171.8328943892704,"{0: 21, 1: 4, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.05, 'e': 0.9231163463866358}",25,0,-109.73362736356968,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.05, 'e': 0.9139311852712282}",30,3,-137.04119926920188,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 2}",1
10,False,"{'a': 0.05, 'e': 0.9048374180359595}",25,0,-147.13319773311144,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.05, 'e': 0.8958341352965282}",25,0,-25.46852310518311,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.05, 'e': 0.8869204367171575}",20,0,-65.12230529473108,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.05, 'e': 0.8780954309205613}",25,0,-108.31413170110831,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.05, 'e': 0.8693582353988059}",20,0,-107.61558955194727,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.05, 'e': 0.8607079764250578}",30,0,-170.5339749721637,"{0: 14, 1: 4, 2: 9, 3: 2, 4: 1}",0
16,False,"{'a': 0.05, 'e': 0.8521437889662113}",20,0,-55.25119453327413,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.05, 'e': 0.8436648165963837}",35,0,-145.16689798291492,"{0: 22, 1: 3, 2: 8, 3: 0, 4: 2}",0
18,False,"{'a': 0.05, 'e': 0.835270211411272}",25,0,-70.25956155959092,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.05, 'e': 0.8269591339433623}",20,0,-78.8676872801106,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.05, 'e': 0.8187307530779818}",25,0,-115.36985693079546,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.05, 'e': 0.8105842459701871}",20,0,-73.18189279868389,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.05, 'e': 0.8025187979624785}",30,12,-62.24055732559137,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
23,False,"{'a': 0.05, 'e': 0.794533602503334}",20,0,-59.51253918612109,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.05, 'e': 0.7866278610665535}",20,0,-137.91486059728697,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.05, 'e': 0.7788007830714049}",25,16,-29.210055475565657,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
26,False,"{'a': 0.05, 'e': 0.7710515858035663}",20,0,-82.2322050943597,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
27,False,"{'a': 0.05, 'e': 0.7633794943368531}",20,0,-56.938940478380175,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
28,False,"{'a': 0.05, 'e': 0.7557837414557255}",20,0,-92.79862483884348,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.05, 'e': 0.7482635675785653}",20,0,-146.79751195598482,"{0: 12, 1: 4, 2: 0, 3: 1, 4: 3}",0
30,False,"{'a': 0.05, 'e': 0.7408182206817179}",20,1,-72.8627165263733,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
31,False,"{'a': 0.05, 'e': 0.7334469562242892}",25,0,-141.2677480856764,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
32,False,"{'a': 0.05, 'e': 0.7261490370736909}",25,0,-16.12903654257378,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.05, 'e': 0.7189237334319262}",20,8,-24.08873896541645,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.05, 'e': 0.7117703227626097}",30,0,-119.85417514959624,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
35,False,"{'a': 0.05, 'e': 0.7046880897187134}",25,10,-6.237667269175592,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.05, 'e': 0.697676326071031}",25,5,-69.38956912380553,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
37,False,"{'a': 0.05, 'e': 0.6907343306373547}",30,4,-145.2708179173605,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 3}",1
38,False,"{'a': 0.05, 'e': 0.6838614092123558}",20,0,-80.09241774945592,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
39,False,"{'a': 0.05, 'e': 0.6770568744981647}",30,0,-89.56373463586269,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
40,False,"{'a': 0.05, 'e': 0.6703200460356393}",25,3,-135.73994273872972,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 3}",1
41,False,"{'a': 0.05, 'e': 0.6636502501363194}",20,0,-22.506364715055163,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
42,False,"{'a': 0.05, 'e': 0.6570468198150567}",30,16,-9.390805050469384,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.05, 'e': 0.6505090947233165}",20,0,-79.17623018587962,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
44,False,"{'a': 0.05, 'e': 0.6440364210831414}",20,0,-124.84441921769883,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
45,False,"{'a': 0.05, 'e': 0.6376281516217733}",20,0,-128.72351536388516,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
46,False,"{'a': 0.05, 'e': 0.631283645506926}",20,4,-102.74865504233657,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 2}",1
47,False,"{'a': 0.05, 'e': 0.6250022682827008}",20,0,-68.33911849662083,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
48,False,"{'a': 0.05, 'e': 0.6187833918061408}",20,0,-6.597128364493621,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.05, 'e': 0.6126263941844161}",25,7,-8.042942058667993,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.05, 'e': 0.6065306597126334}",20,3,-81.23076852845357,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 1}",1
51,False,"{'a': 0.05, 'e': 0.6004955788122659}",20,0,-90.80923334710882,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
52,False,"{'a': 0.05, 'e': 0.5945205479701944}",25,10,-31.442982933306023,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
