trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.41310344594719,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-85.02812634285776,"{0: 21, 1: 2, 2: 4, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,4,-146.84167245598965,"{0: 6, 1: 2, 2: 5, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.28824383287849,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-209.23284422805173,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 4}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.74201909183753,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.28292115845849,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.63096083721234,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.25744303202474,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-104.10698670395502,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.426949515181605,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.82359184337975,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.63329367899931,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.04706861591575,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.98920795637183,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.72305527189208,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-194.5156681803604,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.95067612903904,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,9,-2.3767843372430484,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,9,-24.307848442844136,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-168.74711006657998,"{0: 18, 1: 5, 2: 10, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-73.74619859276497,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-230.75817617539144,"{0: 16, 1: 1, 2: 8, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-182.85369219025068,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.43933066281987,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-98.75905957590514,"{0: 17, 1: 3, 2: 10, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.01710405213417,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-200.5114473614185,"{0: 9, 1: 5, 2: 7, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-167.9326299867396,"{0: 10, 1: 8, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-226.97837448708395,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
